Hotel_Name,Address,Zipcode,Num_Rooms,Website,Longitude,Latitude,is_large_hotel,has_coordinates
HYATT PLACE WASHINGTON DC/WHITE HOUSE,1522 K STREET NW,20005,164.0,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-white-house/waszw,-8575570.60606045,4707666.31486029,1,1
"THE ST. REGIS WASHINGTON, D.C.",923 16TH STREET NW,20006,193.0,http://www.starwoodhotels.com/stregis/property/overview/index.html?propertyID=193,-8575619.28096603,4707659.64652818,1,1
EMBASSY SUITES BY HILTON WASHINGTON DC CONVENTION CENTER,900 10TH STREET NW,20001,382.0,http://embassysuites3.hilton.com/en/hotels/district-of-columbia/embassy-suites-washington-dc-convention-center-WASCCES/index.html,-8574518.03387078,4707646.71277334,1,1
RENAISSANCE WASHINGTON DC DOWNTOWN,999 9TH STREET NW,20001,807.0,http://www.marriott.com/hotels/travel/wasrb-renaissance-washington-dc-downtown-hotel/,-8574238.01301993,4707620.09012303,1,1
HAMPTON INN WASHINGTON DOWNTOWN CONVENTION CENTER,901 6TH STREET NW,20001,228.0,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-downtown-convention-center-WASHHHX/index.html,-8573788.4683219,4707613.22605101,1,1
HOTEL LOMBARDY,2019 PENNSYLVANIA AVENUE NW,20006,140.0,http://www.hotellombardy.com/,-8576712.66766406,4707577.53440655,1,1
CAPITAL VIEW HOSTEL,301 I STREET NW,20001,,http://www.capitalhostels.com/,-8573318.9490133,4707568.44829145,0,1
CONRAD WASHINGTON DC,950 NEW YORK AVENUE NW,20001,,http://conradhotels3.hilton.com/en/hotels/district-of-columbia/conrad-washington-dc-WASCICI/index.html,-8574428.95962841,4707565.0419418,0,1
THE RIVER INN,924 25TH STREET NW,20037,125.0,http://www.theriverinn.com/,-8577580.2226883,4707562.2790284,1,1
"CLUB QUARTERS HOTEL WASHINGTON, D.C.",839 17TH STREET NW,20006,185.0,https://clubquartershotels.com/locations/club-quarters-hotel-washington-dc,-8575969.26476243,4707512.50031822,1,1
HILTON GARDEN INN WASHINGTON DC DOWNTOWN,815 14TH STREET NW,20005,300.0,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-downtown-DCACHGI/index.html,-8575133.64111307,4707454.00343905,1,1
